dataset,model,condition,metric,repetitions,mean,sd,empirical_low,empirical_high,mean_denominator_n
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp3,beneficial_revision,30,0.010685891217403256,0.006986349891097603,0.0,0.02248134328358209,131.53333333333333
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp3,change_rate,30,0.036,0.005065093524683735,0.02745,0.045099999999999994,500
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp3,conformity_rate,30,0.03225062130516087,0.005714422495352905,0.022772254816746343,0.04143913551293578,466.4
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp3,harmful_conformity,30,0.028886403598678927,0.0069319351164074255,0.01805321436875145,0.03907871098136088,368.46666666666664
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp3,target_adoption,30,0.09726666666666667,0.011172420888319018,0.07945,0.11510000000000001,500
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp4,accuracy,30,0.6081333333333333,0.017748692682956216,0.5823499999999999,0.64455,500
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp4,beneficial_revision,30,0.014910979558965339,0.008505207605815746,0.0,0.030366643534582467,131.53333333333333
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp4,change_rate,30,0.1866,0.012251952694472266,0.16890000000000002,0.20854999999999999,500
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp4,conformity_rate,30,0.1912022352823356,0.01304260854401458,0.1722217666247517,0.2144528875379939,466.4
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp4,harmful_conformity,30,0.17585780778570304,0.015712794576952478,0.1515135998689169,0.20270850677363203,368.46666666666664
CommonsenseQA,Qwen/Qwen2.5-3B-Instruct,exp4,target_adoption,30,0.24553333333333333,0.015018915276808579,0.22344999999999998,0.2711,500
CommonsenseQA,google/gemma-2-2b-it,exp1,accuracy,30,0.6865333333333333,0.012090843880686142,0.668,0.7101999999999999,500
CommonsenseQA,google/gemma-2-2b-it,exp1,beneficial_revision,30,0.007656379054116026,0.004281494314665335,0.0,0.014068431568431568,148.76666666666668
CommonsenseQA,google/gemma-2-2b-it,exp1,change_rate,30,0.028,0.005872202195147036,0.0169,0.037099999999999994,500
CommonsenseQA,google/gemma-2-2b-it,exp1,conformity_rate,30,0.023425057145279014,0.0053952863554567005,0.013712033313001885,0.0318543568013907,467.76666666666665
CommonsenseQA,google/gemma-2-2b-it,exp1,harmful_conformity,30,0.021238619853029245,0.004904030747887656,0.012638368808303772,0.028270492055671875,351.23333333333335
CommonsenseQA,google/gemma-2-2b-it,exp1,target_adoption,30,0.0864,0.00644124639898318,0.07525000000000001,0.09655,500
CommonsenseQA,google/gemma-2-2b-it,exp2,accuracy,30,0.6731333333333334,0.011025779613793934,0.6534500000000001,0.6950999999999999,500
CommonsenseQA,google/gemma-2-2b-it,exp2,beneficial_revision,30,0.004076762132353963,0.0033934504780833647,0.0,0.007261904761904761,148.76666666666668
CommonsenseQA,google/gemma-2-2b-it,exp2,change_rate,30,0.04686666666666667,0.00667849525346651,0.03745,0.06,500
CommonsenseQA,google/gemma-2-2b-it,exp2,conformity_rate,30,0.046511338449440956,0.006759738206401784,0.03803648068669528,0.060012738968595276,467.76666666666665
CommonsenseQA,google/gemma-2-2b-it,exp2,harmful_conformity,30,0.04038613194860188,0.006940222166819822,0.02929454390451833,0.053449000336155975,351.23333333333335
CommonsenseQA,google/gemma-2-2b-it,exp2,target_adoption,30,0.108,0.00712450845249377,0.0978,0.12054999999999999,500
CommonsenseQA,google/gemma-2-2b-it,exp3,accuracy,30,0.6304666666666666,0.010368165246306254,0.6118,0.648,500
CommonsenseQA,google/gemma-2-2b-it,exp3,beneficial_revision,30,0.028863775036127286,0.01115410084032233,0.004931972789115647,0.04794520547945205,148.76666666666668
CommonsenseQA,google/gemma-2-2b-it,exp3,change_rate,30,0.12126666666666666,0.010563219641539334,0.10269999999999999,0.13855,500
CommonsenseQA,google/gemma-2-2b-it,exp3,conformity_rate,30,0.09668507697183952,0.010494997307466624,0.08031882280809319,0.11648495043473443,467.76666666666665
CommonsenseQA,google/gemma-2-2b-it,exp3,harmful_conformity,30,0.08981590876862658,0.010835593769158424,0.07288381947181712,0.11035191603691646,351.23333333333335
CommonsenseQA,google/gemma-2-2b-it,exp3,target_adoption,30,0.15493333333333334,0.010670401644941388,0.14145,0.17855,500
CommonsenseQA,google/gemma-2-2b-it,exp4,accuracy,30,0.6562666666666667,0.01323249222840176,0.6307,0.67455,500
CommonsenseQA,google/gemma-2-2b-it,exp4,beneficial_revision,30,0.13087502392260092,0.022610563588946593,0.08882575757575757,0.17013288288288286,148.76666666666668
CommonsenseQA,google/gemma-2-2b-it,exp4,change_rate,30,0.16186666666666666,0.01161370573587691,0.14415,0.18164999999999998,500
CommonsenseQA,google/gemma-2-2b-it,exp4,conformity_rate,30,0.04629934612267719,0.006764387721070612,0.034488272921108745,0.05990466101694915,467.76666666666665
CommonsenseQA,google/gemma-2-2b-it,exp4,harmful_conformity,30,0.0414431244176387,0.00808481466411742,0.02839855329760617,0.05453968519225871,351.23333333333335
CommonsenseQA,google/gemma-2-2b-it,exp4,target_adoption,30,0.085,0.00700246262100846,0.07435,0.096,500
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,accuracy,30,0.24765487776508108,0.013988211163559904,0.22625754527162978,0.273810159994818,496.93333333333334
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,beneficial_revision,30,0.004070346830732295,0.004147616741698324,0.0,0.008683628318584071,124.1
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,change_rate,30,0.6492488896063401,0.018158566400820895,0.614045294079544,0.6750721194637705,496.93333333333334
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,conformity_rate,30,0.6785929674683665,0.018014010368300682,0.6440831556503198,0.7067393854253331,470.1666666666667
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,harmful_conformity,30,0.6629867226851857,0.01849719874285147,0.6257926674291524,0.6923330338424678,372.8333333333333
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp1,target_adoption,30,0.695936362365601,0.016542844695087038,0.6638406448374141,0.722887323943662,496.93333333333334
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,accuracy,30,0.12942918827848005,0.007893538078086671,0.11614688128772635,0.14264916810097533,497.56666666666666
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,beneficial_revision,30,0.010425803866742172,0.005476734256781937,0.0,0.016845890898732372,124.73333333333333
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,change_rate,30,0.7939992264784402,0.013437936764664671,0.7716569497305115,0.815980552654605,497.56666666666666
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,conformity_rate,30,0.8181580756488179,0.011195111972999041,0.7986398761424904,0.8341049279249079,470.8
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,harmful_conformity,30,0.8164850291167073,0.01151284132193121,0.7949275769144397,0.8361620405738053,372.8333333333333
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp2,target_adoption,30,0.8254869031154716,0.010582883841962707,0.8075803212851405,0.8412474849094567,497.56666666666666
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp3,accuracy,30,0.5768162818027028,0.01590213877391248,0.5486903384233255,0.6087525150905433,497.56666666666666
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp3,beneficial_revision,30,0.029710857245141255,0.012778773091648937,0.008485772357723577,0.055238407699037616,124.73333333333333
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp3,change_rate,30,0.23741398782874326,0.013762776501496106,0.21394648130719804,0.2636044176706827,497.56666666666666
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp3,conformity_rate,30,0.1564837283978585,0.01034859633487725,0.13943902196105773,0.1761788507001273,470.8
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp3,harmful_conformity,30,0.15019481811817123,0.011151579472165902,0.12665022652979296,0.16841326324594041,372.8333333333333
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp3,target_adoption,30,0.19695463849582498,0.012012780826358736,0.17605167294087104,0.21942771084337348,497.56666666666666
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp4,accuracy,30,0.3002656125524175,0.01460012092733313,0.2729418676710852,0.3272635814889336,497.56666666666666
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp4,beneficial_revision,30,0.055036655029405135,0.013335164326279063,0.03418803418803419,0.08313707945597709,124.73333333333333
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp4,change_rate,30,0.6182748220565729,0.015503694362240871,0.5919313067157969,0.6471113252662266,497.56666666666666
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp4,conformity_rate,30,0.5311471547776306,0.016618652797562552,0.5072494669509595,0.5664764521868251,470.8
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp4,harmful_conformity,30,0.5120890907111093,0.019603061990786885,0.4825417026171987,0.5535552061495458,372.8333333333333
CommonsenseQA,microsoft/Phi-3.5-mini-instruct,exp4,target_adoption,30,0.5461273725974568,0.015980155622816967,0.5222977422769549,0.5793907016395562,497.56666666666666
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,accuracy,30,0.44913333333333333,0.014543000054139886,0.42489999999999994,0.47509999999999997,500
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,beneficial_revision,30,0.010725887818893136,0.004582182560627396,0.003983516483516484,0.019247661035202254,177.76666666666668
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,change_rate,30,0.3308666666666667,0.014178014386860494,0.3045,0.35474999999999995,500
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,conformity_rate,30,0.35736100284957395,0.013809559047796847,0.3329476936991257,0.3771141799544419,437.96666666666664
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,harmful_conformity,30,0.2953754100272545,0.017187964235498482,0.2599438454627134,0.3251745238929782,322.23333333333335
MMLU,Qwen/Qwen2.5-3B-Instruct,exp1,target_adoption,30,0.4332,0.01202984793666614,0.416,0.45510000000000006,500
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,accuracy,30,0.33653333333333335,0.013815866274669136,0.31124999999999997,0.36055,500
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,beneficial_revision,30,0.0060092848613743895,0.0035692391722615797,0.0,0.011694755902221602,177.76666666666668
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,change_rate,30,0.4778,0.014086922279559318,0.45430000000000004,0.50055,500
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,conformity_rate,30,0.5395425413479449,0.016444634822654913,0.5123127880184332,0.5682632398753894,437.96666666666664
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,harmful_conformity,30,0.47951705399760136,0.019371874916292477,0.4473193670382166,0.5095684461985874,322.23333333333335
MMLU,Qwen/Qwen2.5-3B-Instruct,exp2,target_adoption,30,0.5948,0.016861300313910033,0.5669,0.6291,500
MMLU,Qwen/Qwen2.5-3B-Instruct,exp3,accuracy,30,0.621,0.01467580697422898,0.5978,0.6447499999999999,500
MMLU,Qwen/Qwen2.5-3B-Instruct,exp3,beneficial_revision,30,0.0026383368028743866,0.002871689016829011,0.0,0.005972102696500286,177.76666666666668
MMLU,Qwen/Qwen2.5-3B-Instruct,exp3,change_rate,30,0.037866666666666667,0.005581578897454174,0.02945,0.04819999999999999,500
MMLU,Qwen/Qwen2.5-3B-Instruct,exp3,conformity_rate,30,0.03868575100105907,0.006194496752441,0.029032738095238094,0.050443286552157504,437.96666666666664
