cell,model,dataset,stratum,stratum_n,target_probability_min,target_probability_max,condition,cr_n,cr,hcr_n,hcr
qwen_mmlu,Qwen2.5-3B,MMLU,Medium,166,8.315271143005791e-07,0.0002553404560469674,exp3,166,0.05421686746987952,113,0.05309734513274336
qwen_mmlu,Qwen2.5-3B,MMLU,Medium,166,8.315271143005791e-07,0.0002553404560469674,exp4,166,0.35542168674698793,113,0.34513274336283184
qwen_mmlu,Qwen2.5-3B,MMLU,High,167,0.00026108736045959627,0.9999998879056228,exp1,100,0.64,57,0.5789473684210527
qwen_mmlu,Qwen2.5-3B,MMLU,High,167,0.00026108736045959627,0.9999998879056228,exp2,100,0.76,57,0.7192982456140351
qwen_mmlu,Qwen2.5-3B,MMLU,High,167,0.00026108736045959627,0.9999998879056228,exp3,100,0.09,57,0.08771929824561403
qwen_mmlu,Qwen2.5-3B,MMLU,High,167,0.00026108736045959627,0.9999998879056228,exp4,100,0.6,57,0.5789473684210527
phi_csqa,Phi-3.5-mini,CommonsenseQA,Low,166,9.86285598635618e-15,7.582566325269174e-10,exp1,166,0.5602409638554217,152,0.5723684210526315
phi_csqa,Phi-3.5-mini,CommonsenseQA,Low,166,9.86285598635618e-15,7.582566325269174e-10,exp2,166,0.7590361445783133,152,0.7631578947368421
phi_csqa,Phi-3.5-mini,CommonsenseQA,Low,166,9.86285598635618e-15,7.582566325269174e-10,exp3,166,0.1144578313253012,152,0.10526315789473684
phi_csqa,Phi-3.5-mini,CommonsenseQA,Low,166,9.86285598635618e-15,7.582566325269174e-10,exp4,166,0.41566265060240964,152,0.42105263157894735
phi_csqa,Phi-3.5-mini,CommonsenseQA,Medium,165,9.721576997372965e-10,6.47230043499214e-07,exp1,164,0.6463414634146342,128,0.6640625
phi_csqa,Phi-3.5-mini,CommonsenseQA,Medium,165,9.721576997372965e-10,6.47230043499214e-07,exp2,164,0.823170731707317,128,0.8515625
phi_csqa,Phi-3.5-mini,CommonsenseQA,Medium,165,9.721576997372965e-10,6.47230043499214e-07,exp3,164,0.13414634146341464,128,0.125
phi_csqa,Phi-3.5-mini,CommonsenseQA,Medium,165,9.721576997372965e-10,6.47230043499214e-07,exp4,164,0.4817073170731707,128,0.5
phi_csqa,Phi-3.5-mini,CommonsenseQA,High,166,6.474629496638608e-07,0.9999999997014171,exp1,141,0.8368794326241135,91,0.8351648351648352
phi_csqa,Phi-3.5-mini,CommonsenseQA,High,166,6.474629496638608e-07,0.9999999997014171,exp2,141,0.8794326241134752,91,0.8901098901098901
phi_csqa,Phi-3.5-mini,CommonsenseQA,High,166,6.474629496638608e-07,0.9999999997014171,exp3,141,0.2198581560283688,91,0.23076923076923078
phi_csqa,Phi-3.5-mini,CommonsenseQA,High,166,6.474629496638608e-07,0.9999999997014171,exp4,141,0.6453900709219859,91,0.6153846153846154
phi_mmlu,Phi-3.5-mini,MMLU,Low,160,3.442475759320491e-14,2.511000077190507e-08,exp1,160,0.3125,149,0.3221476510067114
phi_mmlu,Phi-3.5-mini,MMLU,Low,160,3.442475759320491e-14,2.511000077190507e-08,exp2,160,0.61875,149,0.6308724832214765
phi_mmlu,Phi-3.5-mini,MMLU,Low,160,3.442475759320491e-14,2.511000077190507e-08,exp3,160,0.21875,149,0.22818791946308725
phi_mmlu,Phi-3.5-mini,MMLU,Low,160,3.442475759320491e-14,2.511000077190507e-08,exp4,160,0.275,149,0.28187919463087246
phi_mmlu,Phi-3.5-mini,MMLU,Medium,159,3.219343091753941e-08,0.0013867561363028102,exp1,158,0.379746835443038,113,0.40707964601769914
phi_mmlu,Phi-3.5-mini,MMLU,Medium,159,3.219343091753941e-08,0.0013867561363028102,exp2,158,0.6645569620253164,113,0.6902654867256637
phi_mmlu,Phi-3.5-mini,MMLU,Medium,159,3.219343091753941e-08,0.0013867561363028102,exp3,158,0.3291139240506329,113,0.37168141592920356
