dataset,model,condition1,condition2,delta_definition,metric,paired_n,rate1,rate2,delta,ci_low,ci_high,mcnemar_b,mcnemar_c,p_raw,p_holm
MMLU,microsoft/Phi-3.5-mini-instruct,exp1,exp2,condition2_minus_condition1,conformity_rate,435,0.36551724137931035,0.6666666666666666,0.30114942528735633,0.25287356321839083,0.34942528735632183,13,144,4.078087318804872e-29,3.2624698550438977e-28
MMLU,microsoft/Phi-3.5-mini-instruct,exp1,exp2,condition2_minus_condition1,harmful_conformity,333,0.36936936936936937,0.6756756756756757,0.3063063063063063,0.24924924924924924,0.3633633633633634,9,111,1.7092920119428793e-23,1.3674336095543035e-22
MMLU,microsoft/Phi-3.5-mini-instruct,exp1,exp2,condition2_minus_condition1,beneficial_revision,161,0.012422360248447204,0.0,-0.012422360248447204,-0.031055900621118012,0.0,2,0,0.5,1.0
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,accuracy,489,0.20245398773006135,0.43558282208588955,0.2331288343558282,0.18200408997955012,0.2822085889570552,33,147,2.2431081245674986e-18,1.570175687197249e-17
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,target_adoption,489,0.7034764826175869,0.35787321063394684,-0.3456032719836401,-0.3987730061349693,-0.29243353783231085,206,37,1.286796111141175e-29,1.02943688891294e-28
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,change_rate,489,0.6114519427402862,0.3231083844580777,-0.2883435582822086,-0.34355828220858897,-0.2331288343558282,188,47,3.6737626041116125e-21,2.5716338228781287e-20
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,conformity_rate,430,0.6674418604651163,0.28837209302325584,-0.37906976744186044,-0.4372093023255814,-0.3186046511627907,198,35,8.306196457167136e-29,5.814337520016995e-28
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,harmful_conformity,328,0.676829268292683,0.29878048780487804,-0.3780487804878049,-0.4481707317073171,-0.3079268292682927,153,29,1.4963451823321186e-21,1.047441627632483e-20
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,exp3,condition2_minus_condition1,beneficial_revision,161,0.0,0.024844720496894408,0.024844720496894408,0.006211180124223602,0.049689440993788817,0,4,0.125,1.0
CommonsenseQA,google/gemma-2-2b-it,exp1,exp2,condition2_minus_condition1,accuracy,500,0.676,0.664,-0.012,-0.024,0.0,8,2,0.109375,0.21875
CommonsenseQA,google/gemma-2-2b-it,exp1,exp2,condition2_minus_condition1,target_adoption,500,0.086,0.106,0.02,0.004,0.038,5,15,0.04138946533203125,0.0827789306640625
CommonsenseQA,google/gemma-2-2b-it,exp1,exp2,condition2_minus_condition1,change_rate,500,0.028,0.046,0.018,0.002,0.036,5,14,0.063568115234375,0.12713623046875
CommonsenseQA,google/gemma-2-2b-it,exp1,exp2,condition2_minus_condition1,conformity_rate,468,0.023504273504273504,0.04487179487179487,0.021367521367521368,0.004273504273504274,0.0405982905982906,5,15,0.04138946533203125,0.0827789306640625
CommonsenseQA,google/gemma-2-2b-it,exp1,exp2,condition2_minus_condition1,harmful_conformity,344,0.014534883720930232,0.03488372093023256,0.020348837209302327,0.0029069767441860465,0.040697674418604654,2,9,0.0654296875,0.130859375
CommonsenseQA,google/gemma-2-2b-it,exp1,exp2,condition2_minus_condition1,beneficial_revision,156,0.00641025641025641,0.00641025641025641,0.0,0.0,0.0,0,0,1.0,1.0
CommonsenseQA,google/gemma-2-2b-it,exp2,exp3,condition2_minus_condition1,accuracy,500,0.664,0.616,-0.048,-0.072,-0.024,32,8,0.0001821658297558315,0.0005464974892674945
CommonsenseQA,google/gemma-2-2b-it,exp2,exp3,condition2_minus_condition1,target_adoption,500,0.106,0.168,0.062,0.036,0.088,8,39,5.539621596994948e-06,1.6618864790984844e-05
CommonsenseQA,google/gemma-2-2b-it,exp2,exp3,condition2_minus_condition1,change_rate,500,0.046,0.136,0.09,0.062,0.12,8,53,2.98644165040024e-09,1.194576660160096e-08
CommonsenseQA,google/gemma-2-2b-it,exp2,exp3,condition2_minus_condition1,conformity_rate,468,0.04487179487179487,0.1111111111111111,0.06623931623931624,0.038461538461538464,0.09401709401709402,8,39,5.539621596994948e-06,1.9221083016677243e-05
CommonsenseQA,google/gemma-2-2b-it,exp2,exp3,condition2_minus_condition1,harmful_conformity,344,0.03488372093023256,0.09593023255813954,0.061046511627906974,0.03197674418604651,0.09302325581395349,4,25,0.00010371580719947815,0.00031114742159843445
CommonsenseQA,google/gemma-2-2b-it,exp2,exp3,condition2_minus_condition1,beneficial_revision,156,0.00641025641025641,0.03205128205128205,0.02564102564102564,0.00641025641025641,0.05128205128205128,0,4,0.125,1.0
MMLU,google/gemma-2-2b-it,exp1,exp2,condition2_minus_condition1,accuracy,499,0.5511022044088176,0.5450901803607214,-0.006012024048096192,-0.01603206412825651,0.004008016032064128,5,2,0.453125,0.453125
MMLU,google/gemma-2-2b-it,exp1,exp2,condition2_minus_condition1,target_adoption,499,0.156312625250501,0.16633266533066132,0.01002004008016032,-0.002004008016032064,0.022044088176352707,2,7,0.1796875,0.1796875
MMLU,google/gemma-2-2b-it,exp1,exp2,condition2_minus_condition1,change_rate,499,0.022044088176352707,0.02404809619238477,0.002004008016032064,-0.008016032064128256,0.012024048096192385,3,4,1.0,1.0
MMLU,google/gemma-2-2b-it,exp1,exp2,condition2_minus_condition1,conformity_rate,428,0.016355140186915886,0.028037383177570093,0.011682242990654205,-0.002336448598130841,0.02570093457943925,2,7,0.1796875,0.1796875
MMLU,google/gemma-2-2b-it,exp1,exp2,condition2_minus_condition1,harmful_conformity,278,0.017985611510791366,0.02158273381294964,0.0035971223021582736,-0.01079136690647482,0.017985611510791366,2,3,1.0,1.0
MMLU,google/gemma-2-2b-it,exp1,exp2,condition2_minus_condition1,beneficial_revision,221,0.013574660633484163,0.0,-0.013574660633484163,-0.03167420814479638,0.0,3,0,0.25,1.0
MMLU,google/gemma-2-2b-it,exp2,exp3,condition2_minus_condition1,accuracy,499,0.5450901803607214,0.48096192384769537,-0.06412825651302605,-0.08617234468937876,-0.04208416833667335,34,2,1.941225491464138e-08,9.70612745732069e-08
MMLU,google/gemma-2-2b-it,exp2,exp3,condition2_minus_condition1,target_adoption,499,0.16633266533066132,0.24448897795591182,0.0781563126252505,0.052104208416833664,0.10420841683366733,5,44,7.59715845788378e-09,3.7985792289418896e-08
MMLU,google/gemma-2-2b-it,exp2,exp3,condition2_minus_condition1,change_rate,499,0.02404809619238477,0.1282565130260521,0.10420841683366733,0.0781563126252505,0.13226452905811623,1,53,6.106226635438361e-15,3.0531133177191805e-14
MMLU,google/gemma-2-2b-it,exp2,exp3,condition2_minus_condition1,conformity_rate,428,0.028037383177570093,0.12149532710280374,0.09345794392523364,0.0630841121495327,0.12383177570093458,4,44,1.5138326148189662e-09,7.569163074094831e-09
MMLU,google/gemma-2-2b-it,exp2,exp3,condition2_minus_condition1,harmful_conformity,278,0.02158273381294964,0.1223021582733813,0.10071942446043165,0.06474820143884892,0.14028776978417265,1,29,5.774199962615967e-08,2.8870999813079834e-07
MMLU,google/gemma-2-2b-it,exp2,exp3,condition2_minus_condition1,beneficial_revision,221,0.0,0.00904977375565611,0.00904977375565611,0.0,0.02262443438914027,0,2,0.5,1.0
